Gene,VDR,GR,GR_ratio,Pattern,Disease,Drug,Result,Reason,Outcome
IL23A,211.05,70.34,0.25,Both (VDR↑↑),IBD/乾癬,リサンキズマブ / グセルクマブ,承認済,—,approved
BTK,209.73,65.13,0.237,Both (VDR↑↑),ITP/天疱瘡,リルザブルチニブ,Phase III,—,ongoing
CD274,186.2,80.45,0.302,Both,がん/irAE,アテゾリズマブ / ペムブロリズマブ,承認済,—,approved
OSM,157.73,14.69,0.085,Both (VDR↑↑),UC/CD,izokibep,Phase II,—,ongoing
NOD2,126.1,34.42,0.214,Both (VDR↑↑),クローン病,（直接標的薬なし—感受性遺伝子）,未達,機能喪失変異が疾患リスク→活性化ではなく補完が必要; VDR制御下の「センサー」を直接標的にする手段がない,ongoing
VEGFA,110.38,11.56,0.095,Both (VDR↑↑),がん/ILD,ベバシズマブ,承認済,—,approved
IL6R,99.59,82.9,0.454,Both,RA/SLE,トシリズマブ / サリルマブ,承認済,—,approved
NFKBIA,97.0,486.59,0.834,Both (GR↑↑),炎症全般,NF-κB阻害薬（全薬失敗）,Phase II失敗,ステロイドのClassic機構（IκBα誘導）と完全重複→上乗せなし; 非特異的NF-κB抑制で感染リスク増大,failed
CD38,94.96,18.88,0.166,Both (VDR↑↑),腎症/骨髄腫,ダラツムマブ,承認済,—,approved
CD19,83.95,15.34,0.154,Both (VDR↑↑),SLE/MS,イネビリズマブ,承認済,—,approved
RIPK2,83.37,70.59,0.458,Both,クローン病,RIPK2阻害薬,Phase II,—,ongoing
ICAM1,75.17,19.2,0.203,Both (VDR↑↑),クローン病,アリカフォルセン（アンチセンス）,Phase III失敗,寛解率でプラセボと差なし; 局所投与の吸収問題+ステロイドがICAM1発現を制御済み→有効性限定的,failed
ITGB7,62.27,17.23,0.217,Both (VDR↑↑),UC,ベドリズマブ,承認済,—,approved
TNFRSF9,61.43,101.64,0.623,Both,がん,ウレルマブ,Phase II失敗,Grade 3肝毒性（免疫関連肝炎）により開発中断; 4-1BB経路の過剰活性化でGRが代償的に抑制—VDR制御外,failed
NLRP3,55.77,33.38,0.374,Both,多疾患,dapansutrile / inzomelid,Phase II,—,ongoing
HAVCR2,54.67,56.32,0.507,Both,がん,チムレリマブ,Phase II,—,ongoing
